TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20140111131927,75,2,44,-1,0,4,-1,0,0,0,-1
20140111131927,85,4,56,2,0,5,-1,0,0,0,0
20140111132047,85,1,24,-1,1,3,3,0,0,0,-1
20140111132153,80,4,33,2,0,4,-1,60,42,0,42
20140111132207,85,4,34,14,0,4,-1,60,0,0,0
20140111132284,55,4,43,2,0,2,-1,0,0,0,0
20140111132284,62,2,43,-1,0,3,-1,0,0,0,-1
20140111132284,57,2,43,-1,0,4,-1,0,0,0,-1
20140111132284,60,2,43,-1,0,5,-1,0,0,0,-1
20140111132284,70,2,43,-1,0,6,-1,0,0,0,-1
20140111132295,65,4,48,11,0,3,-1,0,0,0,0
20140111132340,85,4,39,5,0,2,-1,60,0,0,0
20140111132352,80,1,20,-1,1,2,2,0,0,0,-1
20140111132405,80,4,33,5,0,4,-1,60,0,0,0
20140111132405,80,4,34,5,0,5,-1,60,0,0,0
20140111132501,85,4,43,2,0,3,-1,60,0,0,42
20140112130022,62,1,47,-1,0,6,-1,0,0,0,-1
20140112130022,64,1,48,-1,0,7,-1,0,0,0,-1
20140112130025,76,4,33,2,0,6,-1,0,0,0,42
20140112130045,85,4,24,2,1,2,2,0,0,0,0
20140112130058,80,4,43,2,0,5,-1,60,0,0,0
20140112130088,85,4,56,21,0,2,-1,60,0,0,0
20140112130088,80,4,56,7,0,3,-1,0,0,0,0
20140112130088,78,4,56,10,0,4,-1,0,0,0,0
20140112130088,53,3,56,-1,0,5,-1,0,0,0,-1
20140112130088,64,4,56,5,0,6,-1,0,0,0,0
20140112130094,85,4,47,10,0,5,-1,0,0,0,0
20140112130118,66,2,41,-1,0,3,-1,0,0,0,-1
20140112130132,85,4,44,5,0,3,-1,60,0,0,0
20140112130144,60,4,33,5,0,5,-1,0,0,0,0
20140112130152,57,4,47,2,0,10,-1,0,0,0,0
20140112130175,45,4,24,5,1,3,3,0,0,0,0
20140112130187,80,4,33,3,0,4,-1,60,0,0,0
20140112130187,78,4,34,3,0,5,-1,0,0,0,0
20140112130501,61,4,33,3,0,5,-1,0,0,0,0
20140112130501,67,4,39,3,0,6,-1,0,0,0,0
20140112130501,70,4,40,3,0,7,-1,0,0,0,0
20140112130518,85,4,33,10,0,3,-1,0,0,0,0
20140112130518,85,1,43,-1,0,4,-1,60,0,0,-1
20140112130518,64,1,43,-1,0,5,-1,0,0,0,-1
20140112130524,79,1,43,-1,0,10,-1,0,0,0,-1
20140112130525,78,4,33,5,0,3,-1,0,0,0,0
20140112130537,78,2,34,-1,0,4,-1,0,0,0,-1
20140112130545,85,4,47,18,0,3,-1,60,0,0,0
20140112130550,80,4,56,10,0,2,-1,0,0,0,0
20140112130550,80,4,56,1,0,3,-1,0,0,0,0
20140112130550,85,4,56,2,0,4,-1,60,0,0,0
20140112130550,80,2,56,-1,0,5,-1,0,0,0,-1
20140112130550,80,2,56,-1,0,6,-1,0,0,0,-1
20140112130556,71,4,20,3,1,2,2,0,0,0,0
20140112130569,85,4,33,2,0,2,-1,60,0,0,42
20140112130591,64,4,24,4,1,2,2,0,0,0,0
20140112130594,76,4,39,5,0,7,-1,0,0,0,0
20140112130594,74,4,34,20,0,8,-1,0,0,0,0
20140112130594,73,4,47,10,0,9,-1,0,0,0,0
20140112130610,80,4,33,10,0,4,-1,60,0,0,0
20140112130626,85,4,33,21,0,3,-1,60,0,0,0
20140112130638,80,4,33,10,0,2,-1,60,0,0,0
20140112130650,71,3,47,-1,0,3,-1,0,0,0,-1
20140112130654,80,4,43,4,0,2,-1,60,0,0,0
20140112130654,85,4,43,3,0,3,-1,0,0,0,0
20140112130683,85,4,44,6,0,2,-1,0,0,0,0
20140112130719,73,4,33,4,0,3,-1,0,0,0,0
20140112130738,85,1,43,-1,0,2,-1,60,0,0,-1
20140112130738,60,4,43,4,0,3,-1,0,0,0,0
20140112130740,85,4,43,4,0,2,-1,60,0,0,0
20140112130740,85,4,43,4,0,3,-1,60,0,0,0
20140112130740,85,3,43,-1,0,4,-1,60,0,0,-1
20140112130757,85,4,48,3,0,4,-1,60,0,0,0
20140112130785,80,2,49,-1,0,2,-1,60,0,0,-1
20140112130794,85,4,43,5,0,3,-1,60,0,0,0
20140112130806,73,4,33,6,0,6,-1,0,0,0,0
20140112130806,75,4,34,5,0,7,-1,0,0,0,0
20140112130884,80,4,33,2,0,2,-1,60,0,0,0
20140112130886,74,4,26,7,1,3,3,0,0,0,0
20140112130889,76,4,33,3,0,5,-1,0,0,0,0
20140112130892,80,4,33,6,0,2,-1,60,0,0,0
20140112130912,80,4,47,2,0,2,-1,60,0,0,0
20140112130927,66,4,47,2,0,8,-1,0,0,0,0
20140112130944,65,1,56,-1,0,5,-1,0,0,0,-1
20140112130960,85,4,33,10,0,3,-1,60,0,0,0
20140112130971,85,4,44,5,0,5,-1,60,0,0,0
20140112130996,85,4,43,6,0,3,-1,60,0,0,0
20140112130998,80,1,48,-1,0,5,-1,60,0,0,-1
20140112131036,70,3,44,-1,0,4,-1,0,0,0,-1
20140112131036,75,3,44,-1,0,5,-1,0,0,0,-1
20140112131040,54,4,43,3,0,2,-1,0,0,0,0
20140112131040,60,1,43,-1,0,3,-1,0,0,0,-1
20140112131064,80,2,33,-1,0,3,-1,60,0,0,-1
20140112131064,85,2,40,-1,0,4,-1,60,0,0,-1
20140112131100,85,2,43,-1,0,4,-1,60,0,0,-1
20140112131100,74,2,43,-1,0,5,-1,0,0,0,-1
20140112131127,85,4,40,2,0,3,-1,0,0,0,0
20140112131143,73,3,33,-1,0,2,-1,0,0,0,-1
20140112131158,56,1,33,-1,0,5,-1,0,0,0,-1
20140112131158,66,4,34,3,0,6,-1,0,0,0,0
20140112131161,72,4,44,2,0,2,-1,0,0,0,0
20140112131161,78,4,44,2,0,3,-1,0,0,0,0
20140112131212,77,3,39,-1,0,2,-1,0,0,0,-1
20140112131213,85,4,41,10,0,2,-1,60,0,0,0
20140112131230,70,1,43,-1,0,2,-1,0,0,0,-1
20140112131284,75,4,48,3,0,4,-1,0,0,0,0
20140112131300,80,2,26,-1,1,2,2,0,0,0,-1
20140112131303,79,1,33,-1,0,5,-1,0,0,0,-1
20140112131306,80,4,43,5,0,3,-1,60,0,0,0
20140112131306,75,4,43,5,0,4,-1,0,0,0,0
20140112131306,85,4,43,5,0,5,-1,60,0,0,0
20140112131306,74,4,43,2,0,6,-1,0,0,0,0
20140112131306,70,1,43,-1,0,7,-1,0,0,0,-1
20140112131362,63,4,34,13,0,4,-1,0,0,0,0
20140112131369,79,4,34,5,0,5,-1,0,0,0,0
20140112131377,78,3,44,-1,0,4,-1,0,0,0,-1
20140112131409,79,1,20,-1,1,2,2,0,0,0,-1
20140112131427,85,4,33,6,0,2,-1,0,0,0,0
20140112131444,85,4,33,5,0,7,-1,0,0,0,0
20140112131452,85,4,43,2,0,2,-1,60,0,0,0
20140112131465,79,4,33,20,0,5,-1,0,0,0,0
20140112131469,85,4,47,7,0,4,-1,60,0,0,0
20140112131534,80,4,30,3,1,4,4,0,0,0,0
20140112131561,85,4,47,1,0,3,-1,60,0,0,0
20140112131561,85,4,48,1,0,4,-1,60,0,0,0
20140112131563,78,4,34,5,0,3,-1,0,0,0,0
20140112131569,85,4,34,10,0,2,-1,60,0,0,0
20140112131582,85,1,43,-1,0,2,-1,60,0,0,-1
20140112131619,75,4,47,5,0,4,-1,0,0,0,0
20140112131623,80,4,47,2,0,4,-1,0,0,0,0
20140112131623,80,4,48,2,0,5,-1,60,0,0,0
20140112131659,80,3,33,-1,0,3,-1,60,0,0,-1
20140112131728,85,4,47,3,0,2,-1,61,43,42,42
20140112131775,67,4,39,3,0,5,-1,0,0,0,0
20140112131775,80,1,56,-1,0,6,-1,0,0,0,-1
20140112131787,76,4,34,5,0,5,-1,0,0,0,0
20140112131787,22,1,49,-1,0,6,-1,0,0,0,-1
20140112131788,85,4,39,18,0,3,-1,60,0,0,0
20140112131788,85,3,56,-1,0,4,-1,0,0,0,-1
20140112131788,85,3,56,-1,0,5,-1,0,0,0,-1
20140112131805,69,4,33,4,0,4,-1,0,0,0,0
20140112131832,80,4,34,7,0,2,-1,60,0,0,0
20140112131835,80,2,33,-1,0,2,-1,60,0,0,-1
20140112131836,62,4,41,2,0,6,-1,0,0,0,0
20140112131836,65,4,42,2,0,7,-1,0,0,0,0
20140112131845,75,4,44,5,0,2,-1,0,0,0,0
20140112131845,55,1,44,-1,0,3,-1,0,0,0,-1
20140112131854,63,4,33,2,0,8,-1,0,0,0,0
20140112131863,80,4,33,8,0,4,-1,60,0,0,0
20140112131866,65,1,56,-1,0,5,-1,0,0,0,-1
20140112131872,69,4,33,1,0,5,-1,0,0,0,0
20140112131881,73,2,20,-1,1,2,2,0,0,0,-1
20140112131895,80,1,47,-1,0,3,-1,0,0,0,-1
20140112131898,85,4,48,2,0,7,-1,60,0,0,0
20140112131925,80,2,49,-1,0,3,-1,60,0,0,-1
20140112131939,67,4,33,1,0,6,-1,0,0,0,42
20140112131959,80,4,43,2,0,2,-1,60,0,0,0
20140112131959,80,4,43,2,0,3,-1,0,0,0,0
20140112131983,85,4,33,7,0,2,-1,60,0,0,0
20140112131984,80,4,34,7,0,2,-1,0,0,0,0
20140112131988,60,1,34,-1,0,4,-1,0,0,0,-1
20140112131988,85,4,47,5,0,5,-1,60,0,0,0
20140112132025,78,4,34,7,0,3,-1,0,0,0,0
20140112132028,78,4,39,5,0,7,-1,0,0,0,0
20140112132034,75,4,33,5,0,6,-1,0,0,0,0
20140112132034,72,4,44,2,0,7,-1,0,0,0,0
20140112132040,66,4,39,10,0,4,-1,0,0,0,0
20140112132048,85,4,34,5,0,6,-1,60,0,0,0
20140112132065,61,4,56,1,0,3,-1,42,0,0,0
20140112132089,85,4,34,3,0,3,-1,60,0,0,0
20140112132096,75,4,24,10,1,6,6,0,0,0,0
20140112132104,65,4,47,4,0,3,-1,0,0,0,0
20140112132112,65,4,34,2,0,3,-1,0,0,0,0
20140112132119,78,4,47,2,0,5,-1,42,0,0,0
20140112132135,73,4,26,7,1,5,5,0,0,0,0
20140112132137,79,1,20,-1,1,2,2,0,0,0,-1
20140112132169,85,4,39,3,0,5,-1,60,0,0,0
20140112132169,36,3,49,-1,0,6,-1,0,0,0,-1
20140112132176,76,1,33,-1,0,5,-1,0,0,0,-1
20140112132184,80,4,39,5,0,5,-1,60,0,0,0
20140112132184,80,4,33,3,0,6,-1,60,0,0,0
20140112132184,85,4,34,3,0,7,-1,60,0,0,0
20140112132188,80,4,34,18,0,3,-1,60,0,0,0
20140112132188,65,4,43,3,0,4,-1,0,0,0,0
20140112132188,80,4,43,3,0,5,-1,60,0,0,0
20140112132188,66,4,43,3,0,6,-1,0,0,0,0
20140112132188,68,4,43,10,0,7,-1,0,0,0,0
20140112132195,74,4,24,8,1,2,2,0,0,0,0
20140112132195,73,4,24,8,1,3,3,0,0,0,0
20140112132247,85,4,33,3,0,2,-1,60,0,0,0
20140112132251,80,3,33,-1,0,5,-1,60,0,0,-1
20140112132258,65,4,43,5,0,2,-1,0,0,0,0
20140112132258,80,1,43,-1,0,3,-1,60,0,0,-1
20140112132258,85,1,43,-1,0,4,-1,60,0,0,-1
20140112132260,80,4,33,2,0,2,-1,60,0,0,0
20140112132270,68,4,40,4,0,6,-1,0,0,0,0
20140112132278,80,4,33,2,0,4,-1,0,0,0,0
20140112132281,80,4,33,2,0,3,-1,0,0,0,42
20140112132333,75,1,43,-1,0,5,-1,0,0,0,-1
20140112132364,79,4,43,2,0,3,-1,0,0,0,0
20140112132390,85,4,33,2,0,3,-1,60,0,0,0
20140112132390,85,4,34,2,0,4,-1,60,0,0,0
20140112132398,78,4,33,13,0,5,-1,0,0,0,0
20140112132410,51,1,56,-1,0,3,-1,0,0,0,-1
20140112132414,79,4,33,4,0,6,-1,0,0,0,0
20140112132417,79,4,33,2,0,3,-1,0,0,0,0
20140112132417,80,4,34,2,0,4,-1,0,0,0,0
20140112132431,80,4,33,10,0,4,-1,60,0,0,0
20140112132431,85,4,34,10,0,5,-1,60,0,0,0
20140112132433,59,4,34,15,0,5,-1,0,0,0,0
20140112132433,65,1,33,-1,0,6,-1,0,0,0,-1
20140112132457,69,1,34,-1,0,4,-1,0,0,0,-1
20140112132482,85,2,26,-1,1,7,7,0,0,0,-1
20140112132498,85,4,34,7,0,3,-1,60,0,0,0
20140112132500,79,4,33,3,0,5,-1,0,0,0,0
20140201140024,71,2,44,-1,0,2,-1,0,0,0,-1
20140201140024,68,4,44,8,0,3,-1,0,0,0,0
20140201140069,69,3,44,-1,0,2,-1,0,0,0,-1
20140201140069,65,2,44,-1,0,3,-1,0,0,0,-1
20140201140069,58,2,44,-1,0,4,-1,0,0,0,-1
20140201140119,69,1,33,-1,0,6,-1,0,0,0,-1
20140201140157,57,4,47,2,0,3,-1,0,0,0,0
20140201140181,85,1,48,-1,0,4,-1,60,0,0,-1
20140201140513,85,4,33,3,0,10,-1,0,0,0,0
20140201140525,85,4,33,3,0,3,-1,60,0,0,0
20140201140573,80,3,43,-1,0,4,-1,60,0,0,-1
20140201140576,71,1,48,-1,0,4,-1,0,0,0,-1
20140201140584,70,4,33,10,0,5,-1,0,0,0,0
20140201140584,70,4,39,5,0,6,-1,0,0,0,0
20140201140584,71,4,41,5,0,7,-1,0,0,0,0
20140201140587,85,3,33,-1,0,2,-1,60,0,0,-1
20140201140594,80,2,33,-1,0,2,-1,0,0,0,-1
20140201140617,85,4,43,4,0,2,-1,60,0,0,0
20140201140617,85,4,33,8,0,3,-1,60,0,0,0
20140201140638,80,3,48,-1,0,3,-1,0,0,0,-1
20140201140649,75,1,48,-1,0,4,-1,0,0,0,-1
20140201140653,71,4,21,2,1,2,2,0,0,0,0
20140201140678,80,4,47,5,0,4,-1,60,0,0,0
20140201140680,66,4,33,15,0,5,-1,0,0,0,0
20140201140680,72,4,34,15,0,6,-1,0,0,0,0
20140201140697,72,2,33,-1,0,2,-1,0,0,0,-1
20140201140791,85,4,33,3,0,3,-1,60,0,0,0
20140201140796,78,4,34,3,0,3,-1,0,0,0,0
20140201140810,65,4,33,8,0,5,-1,0,0,0,0
20140201140811,80,4,24,5,1,5,5,0,0,0,0
20140201140831,79,2,33,-1,0,5,-1,0,0,0,-1
20140201140846,70,1,44,-1,0,6,-1,0,0,0,-1
20140201140883,85,4,44,5,0,5,-1,60,0,0,0
20140201140891,68,4,41,7,0,3,-1,0,0,0,0
20140201140897,74,3,47,-1,0,5,-1,0,0,0,-1
20140201140900,85,1,56,-1,0,2,-1,60,0,0,-1
20140201140900,85,1,56,-1,0,3,-1,60,0,0,-1
20140201140900,85,1,56,-1,0,4,-1,60,0,0,-1
20140201140900,80,1,56,-1,0,5,-1,60,0,0,-1
20140201140900,85,1,56,-1,0,6,-1,60,0,0,-1
20140201140917,80,4,43,5,0,2,-1,60,0,0,0
20140201140918,72,2,20,-1,1,2,2,0,0,0,-1
20140201140929,85,1,33,-1,0,2,-1,60,0,0,-1
20140201140966,68,1,33,-1,0,5,-1,0,0,0,-1
20140201141002,85,4,49,3,0,4,-1,60,0,0,0
20140201141070,80,3,47,-1,0,6,-1,0,0,0,-1
20140201141073,80,4,48,3,0,4,-1,60,0,0,42
20140201141074,77,2,24,-1,1,3,3,0,0,0,-1
20140201141092,80,3,33,-1,0,3,-1,60,0,0,-1
20140201141110,78,4,43,3,0,3,-1,0,0,0,0
20140201141152,59,3,40,-1,0,5,-1,0,0,0,-1
20140201141152,80,4,47,15,0,6,-1,0,0,0,0
20140201141152,80,4,47,15,0,7,-1,60,0,0,0
20140201141152,79,4,48,15,0,8,-1,0,0,0,0
20140201141152,80,4,48,15,0,9,-1,60,0,0,0
20140201141159,71,1,33,-1,0,5,-1,0,0,0,-1
20140201141160,72,4,40,2,0,6,-1,0,0,0,0
20140201141167,85,4,33,1,0,3,-1,60,0,0,0
20140201141167,85,4,34,1,0,4,-1,60,0,0,0
20140201141209,76,4,33,10,0,5,-1,0,0,0,0
20140201141210,85,1,56,-1,0,2,-1,60,0,0,-1
20140201141210,85,1,56,-1,0,3,-1,60,0,0,-1
20140201141210,85,1,56,-1,0,4,-1,60,0,0,-1
20140201141210,80,1,56,-1,0,5,-1,0,0,0,-1
20140201141210,85,1,56,-1,0,6,-1,60,0,0,-1
20140201141217,66,4,20,4,1,2,2,0,0,0,0
20140201141243,80,1,43,-1,0,2,-1,60,0,0,-1
20140201141252,85,4,56,5,0,5,-1,60,0,0,0
20140201141252,85,4,56,5,0,6,-1,60,0,0,0
20140201141253,50,4,26,4,1,3,3,0,0,0,0
20140201141270,76,4,34,10,0,5,-1,0,0,0,0
20140201141270,74,4,49,5,0,6,-1,0,0,0,0
20140201141274,85,4,41,4,0,3,-1,60,0,0,0
20140201141293,80,4,43,3,0,2,-1,60,0,0,0
20140201141303,76,4,20,2,1,2,2,0,0,0,0
20140201141308,80,4,47,5,0,6,-1,0,0,0,0
20140201141327,70,4,33,3,0,2,-1,0,0,0,42
20140201141327,70,3,44,-1,0,3,-1,0,0,0,-1
20140201141328,63,4,39,5,0,7,-1,0,0,0,0
20140201141339,85,4,34,5,0,4,-1,0,0,0,0
20140201141340,78,4,39,3,0,3,-1,0,0,0,0
20140201141374,52,4,43,14,0,2,-1,0,0,0,0
20140201141374,72,4,43,10,0,3,-1,0,0,0,0
20140201141375,85,4,44,3,0,4,-1,60,0,0,0
20140201141402,85,4,33,5,0,2,-1,0,0,0,0
20140201141406,85,4,43,2,0,4,-1,60,0,0,0
20140201141441,69,4,47,2,0,3,-1,0,0,0,0
20140201141459,80,2,33,-1,0,3,-1,60,0,0,-1
20140201141459,85,4,34,5,0,4,-1,60,0,0,0
20140201141467,79,3,24,-1,1,5,5,0,0,0,-1
20140201141473,71,1,24,-1,1,2,2,0,0,0,-1
20140201141501,85,4,33,4,0,2,-1,60,0,0,0
20140201141511,85,2,33,-1,0,4,-1,60,0,0,-1
20140201141572,85,3,56,-1,0,7,-1,60,0,0,-1
20140201141572,85,1,56,-1,0,8,-1,60,0,0,-1
20140201141572,67,3,56,-1,0,9,-1,0,0,0,-1
20140201141575,74,1,44,-1,0,2,-1,0,0,0,-1
20140201141590,58,2,33,-1,0,5,-1,0,0,0,-1
20140201141607,50,1,43,-1,0,2,-1,0,0,0,-1
20140201141615,63,4,20,3,1,2,2,0,0,0,0
20140201141616,70,4,44,10,0,2,-1,0,0,0,0
20140201141616,50,3,44,-1,0,3,-1,0,0,0,-1
20140201141616,50,3,44,-1,0,4,-1,0,0,0,-1
20140201141616,80,4,44,5,0,5,-1,0,0,0,0
20140201141639,85,4,39,10,0,3,-1,60,0,0,0
20140201141639,78,2,43,-1,0,4,-1,0,0,0,-1
20140201141643,80,1,56,-1,0,3,-1,61,0,0,-1
20140201141643,76,1,56,-1,0,4,-1,42,0,0,-1
20140201141647,80,1,43,-1,0,2,-1,60,0,0,-1
20140201141651,75,4,44,5,0,5,-1,0,0,0,0
20140201141653,72,1,43,-1,0,3,-1,0,0,0,-1
20140201141653,73,1,43,-1,0,4,-1,0,0,0,-1
20140201141675,60,4,43,2,0,3,-1,0,0,0,0
20140201141696,85,4,49,15,0,4,-1,60,0,0,0
20140201141699,85,4,33,2,0,7,-1,60,0,0,0
20140201141699,79,1,40,-1,0,8,-1,0,0,0,-1
20140201141707,78,1,40,-1,0,3,-1,0,0,0,-1
20140201141708,78,2,33,-1,0,2,-1,0,0,0,-1
20140201141719,85,4,44,2,0,3,-1,60,0,0,0
20140201141719,85,4,44,2,0,4,-1,60,0,0,0
20140201141720,85,4,47,5,0,5,-1,60,0,0,0
20140201141758,85,1,41,-1,0,3,-1,0,0,0,-1
20140201141764,79,3,47,-1,0,4,-1,0,0,0,-1
20140201141771,80,4,49,2,0,3,-1,0,0,0,0
20140201141771,71,4,20,10,1,2,2,0,0,0,0
20140201141772,74,2,34,-1,0,6,-1,0,0,0,-1
20140201141778,75,4,56,5,0,6,-1,0,0,0,0
20140201141778,75,4,56,5,0,7,-1,0,0,0,0
20140201141778,75,4,56,5,0,8,-1,0,0,0,0
20140201141778,75,4,56,5,0,9,-1,0,0,0,0
20140201141778,75,4,56,5,0,10,-1,0,0,0,0
20140201141779,65,2,20,-1,1,2,2,0,0,0,-1
20140201141783,74,1,33,-1,0,5,-1,0,0,0,-1
20140201141783,76,1,34,-1,0,6,-1,0,0,0,-1
20140201141787,85,4,30,9,1,2,2,0,0,0,0
20140201141788,80,4,34,2,0,3,-1,60,0,0,0
20140201141800,85,4,33,3,0,3,-1,60,0,0,0
20140201141800,85,4,34,3,0,4,-1,60,0,0,0
20140201141802,85,4,43,10,0,4,-1,60,0,0,0
20140201141802,85,4,43,1,0,5,-1,60,0,0,0
20140201141802,85,1,43,-1,0,6,-1,60,0,0,-1
20140201141802,80,4,24,5,1,2,2,0,0,0,0
20140201141802,80,4,24,5,1,3,3,0,0,0,0
20140201141805,62,4,33,5,0,5,-1,0,0,0,0
20140201141805,62,4,34,5,0,6,-1,0,0,0,0
20140201141805,70,4,39,5,0,7,-1,0,0,0,0
20140201141805,70,4,40,5,0,8,-1,0,0,0,0
20140201141815,52,3,26,-1,1,2,2,0,0,0,-1
20140201141823,59,4,43,21,0,2,-1,0,0,0,0
20140201141855,77,1,34,-1,0,3,-1,0,0,0,-1
20140201141864,80,1,39,-1,0,4,-1,60,0,0,-1
20140201141864,85,1,40,-1,0,5,-1,60,0,0,-1
20140201141884,65,4,33,4,0,2,-1,0,0,0,0
20140201141887,74,1,49,-1,0,2,-1,0,0,0,-1
20140201141918,85,4,44,10,0,3,-1,60,0,0,0
20140201141921,60,1,24,-1,1,2,2,0,0,0,-1
20140201141926,70,1,47,-1,0,6,-1,0,0,0,-1
20140201141926,72,1,48,-1,0,7,-1,0,0,0,-1
20140201141926,68,1,47,-1,0,8,-1,0,0,0,-1
20140201141926,69,1,48,-1,0,9,-1,0,0,0,-1
20140201141927,80,4,33,2,0,6,-1,60,0,0,0
20140201141996,70,2,47,-1,0,7,-1,0,0,0,-1
20140201141996,45,1,24,-1,1,2,2,0,0,0,-1
20140201142002,72,4,33,10,0,2,-1,0,0,0,0
20140201142003,80,4,35,8,0,3,-1,60,0,0,0
20140201142004,85,1,43,-1,0,4,-1,60,0,0,-1
20140201142004,85,1,43,-1,0,5,-1,60,0,0,-1
20140201142024,85,1,43,-1,0,2,-1,0,0,0,-1
20140201142025,67,1,43,-1,0,4,-1,0,0,0,-1
20140201142028,85,4,56,7,0,6,-1,60,0,0,0
20140201142061,85,4,33,10,0,2,-1,60,0,0,0
20140201142066,85,4,39,3,0,3,-1,60,0,0,0
20140201142073,70,4,43,12,0,2,-1,0,0,0,0
20140201142073,75,4,43,12,0,3,-1,0,0,0,0
20140201142074,53,2,33,-1,0,2,-1,0,0,0,-1
20140201142100,76,3,20,-1,1,2,2,0,0,0,-1
20140201142118,80,4,24,3,1,2,2,0,0,0,0
20140201142157,70,3,44,-1,0,2,-1,0,0,0,-1
20140201142157,66,3,44,-1,0,3,-1,0,0,0,-1
20140201142157,70,4,44,10,0,4,-1,0,0,0,0
20140201142157,80,4,44,10,0,5,-1,60,0,0,0
20140201142157,80,4,44,2,0,6,-1,60,0,0,0
20140201142165,78,1,38,-1,0,2,-1,0,0,0,-1
20140201142196,80,4,33,4,0,4,-1,60,0,0,0
20140201142198,80,1,33,-1,0,4,-1,60,0,0,-1
20140201142202,78,4,43,5,0,2,-1,0,0,0,0
20140201142237,59,4,33,2,0,4,-1,0,0,0,0
20140201142244,60,3,44,-1,0,3,-1,0,0,0,-1
20140201142244,74,3,44,-1,0,4,-1,0,0,0,-1
20140201142244,72,1,43,-1,0,5,-1,0,0,0,-1
20140201142259,61,1,44,-1,0,5,-1,0,0,0,-1
20140201142296,73,1,33,-1,0,2,-1,0,0,0,-1
20140201142352,76,4,33,5,0,2,-1,0,0,0,0
20140201142352,85,3,34,-1,0,3,-1,60,0,0,-1
20140201142361,69,4,33,4,0,3,-1,0,0,0,0
20140201142361,80,4,56,5,0,4,-1,60,0,0,0
20140201142361,53,3,56,-1,0,5,-1,0,0,0,-1
20140201142361,60,4,56,5,0,6,-1,0,0,0,0
